last_name,first_name,player_id,year,b_home_run,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
Cabrera,Miguel,408234,2021,15,0.231,0.415,0.312,0.298,0.184,91.4,10,32.8,8.3
Cruz Jr.,Nelson,443558,2021,32,0.265,0.514,0.364,0.341,0.249,92.9,11.8,31.8,13.6
Peralta,David,444482,2021,8,0.242,0.344,0.292,0.312,0.102,89.3,5.3,27.2,5
Blackmon,Charlie,453568,2021,13,0.288,0.452,0.358,0.367,0.164,87.6,10.1,32.2,7
McCutchen,Andrew,457705,2021,27,0.239,0.43,0.343,0.351,0.191,88.8,14.6,33.6,9
Turner,Justin,457759,2021,27,0.267,0.465,0.356,0.354,0.198,90.9,19.1,36.1,7.9
Votto,Joey,458015,2021,36,0.274,0.592,0.406,0.383,0.318,92.9,18.2,44.3,17.2
Andrus,Elvis,462101,2021,3,0.272,0.373,0.307,0.323,0.101,87.8,8.1,34,2.1
Santana,Carlos,467793,2021,19,0.244,0.421,0.335,0.345,0.177,89.9,12.9,28,6.8
Lowrie,Jed,476704,2021,14,0.259,0.465,0.344,0.332,0.206,90.7,16.4,36.5,9.3
Brantley Jr.,Michael,488726,2021,8,0.312,0.466,0.361,0.365,0.154,89.5,9.9,38.8,5.8
Gurriel,Yuli,493329,2021,15,0.271,0.386,0.326,0.347,0.115,89.8,13.4,31,3.4
Rojas,Miguel,500743,2021,9,0.248,0.344,0.291,0.307,0.096,86.2,11.5,32.4,2.8
Escobar,Eduardo,500871,2021,28,0.249,0.454,0.328,0.31,0.205,87,20.8,38,8.9
Pham,Tommy,502054,2021,15,0.256,0.44,0.351,0.364,0.184,90.7,7.6,35.3,10
Martinez,J.D.,502110,2021,28,0.285,0.53,0.372,0.35,0.245,92,17,40.9,12.5
Goldschmidt,Paul,502671,2021,31,0.293,0.574,0.396,0.365,0.281,92.6,17.1,36.9,13.6
Altuve,Jose,514888,2021,31,0.261,0.42,0.331,0.338,0.159,87.6,15.7,31.9,6.4
Hernandez,Cesar,514917,2021,21,0.241,0.384,0.309,0.317,0.143,87.4,10.7,32.6,6.8
Segura,Jean,516416,2021,14,0.265,0.394,0.318,0.327,0.13,87.2,5.8,31.1,5.9
Marte,Starling,516782,2021,12,0.277,0.438,0.347,0.354,0.161,87.6,4.6,32.6,8.4
Donaldson,Josh,518626,2021,26,0.268,0.541,0.387,0.371,0.272,94.1,14.6,30.2,17.4
Freeman,Freddie,518692,2021,31,0.316,0.579,0.413,0.407,0.263,91.4,12.1,37.2,11.5
LeMahieu,DJ,518934,2021,10,0.282,0.395,0.338,0.364,0.113,90.6,5,33.3,3.7
Rizzo,Anthony,519203,2021,22,0.26,0.433,0.346,0.355,0.173,90.1,14.8,31.4,7.7
Stanton,Giancarlo,519317,2021,35,0.259,0.494,0.36,0.344,0.235,95.1,10.3,32.6,15.7
Perez,Salvador,521692,2021,48,0.276,0.566,0.374,0.321,0.29,93,15.9,34.1,16.3
Garcia,Avisail,541645,2021,29,0.278,0.515,0.367,0.347,0.237,90.4,9.3,35.9,12.2
Villar,Jonathan,542340,2021,18,0.234,0.387,0.306,0.308,0.153,88,7.3,29.9,7.4
Aguilar,Jesus,542583,2021,22,0.26,0.453,0.334,0.329,0.193,89.6,19,34.7,8.5
Crawford,Brandon,543063,2021,24,0.258,0.489,0.354,0.34,0.231,88.9,14.8,35.5,11.5
Cron,C.J.,543068,2021,28,0.251,0.458,0.352,0.351,0.206,88.5,16,31.1,10.9
Grossman,Robbie,543257,2021,23,0.234,0.399,0.334,0.355,0.165,87.8,21.1,39.5,7.6
Harrison,Josh,543281,2021,8,0.278,0.42,0.333,0.34,0.142,87.2,14.5,39.5,4.4
Hosmer,Eric,543333,2021,12,0.266,0.404,0.325,0.335,0.138,90.6,3.2,26.4,5.8
Semien,Marcus,543760,2021,45,0.242,0.45,0.33,0.314,0.209,89.8,20.3,34.8,9.8
Grichuk,Randal,545341,2021,22,0.231,0.4,0.294,0.274,0.169,89.7,16.2,30.4,8.5
Harper,Bryce,547180,2021,35,0.301,0.61,0.43,0.424,0.309,92.5,13.3,38.9,18.1
Abreu,Jose,547989,2021,30,0.251,0.455,0.348,0.346,0.204,92,10.4,31.2,10.2
Suarez,Eugenio,553993,2021,31,0.215,0.455,0.326,0.302,0.24,89.1,18.3,33,15
Schoop,Jonathan,570731,2021,22,0.257,0.404,0.311,0.305,0.147,88.1,10.8,30.1,6.8
Arenado,Nolan,571448,2021,34,0.248,0.42,0.311,0.308,0.172,89,20,34.1,6.7
Farmer,Kyle,571657,2021,16,0.251,0.382,0.301,0.306,0.131,87.2,15.8,36,4.3
Haniger,Mitch,571745,2021,39,0.262,0.498,0.354,0.329,0.236,89.3,14.8,33.6,12.6
Hernandez,Enrique,571771,2021,20,0.251,0.452,0.345,0.34,0.201,90.7,17.8,36.3,8.4
Muncy,Max,571970,2021,36,0.269,0.578,0.405,0.385,0.308,91.2,15.2,34.7,16.1
Seager,Kyle,572122,2021,35,0.222,0.454,0.32,0.295,0.232,89,19.5,35.7,12.3
Taylor,Michael A.,572191,2021,12,0.246,0.391,0.301,0.299,0.145,89.4,12.1,30.6,6.6
Yastrzemski,Mike,573262,2021,25,0.219,0.429,0.316,0.307,0.209,89.5,19.2,32.8,10.3
Iglesias,Jose,578428,2021,9,0.269,0.364,0.296,0.307,0.096,85.4,11.3,35.5,3.4
Bryant,Kris,592178,2021,25,0.256,0.444,0.343,0.346,0.188,88.1,15.1,36.6,10.3
Canha,Mark,592192,2021,17,0.231,0.378,0.332,0.358,0.147,87.3,13.5,36.1,7.1
Castellanos,Nick,592206,2021,34,0.293,0.535,0.374,0.35,0.241,89.8,14,44,10.6
Judge,Aaron,592450,2021,39,0.306,0.591,0.416,0.392,0.285,95.8,11.6,38.5,17.6
Machado,Manny,592518,2021,28,0.294,0.529,0.379,0.366,0.235,93.1,14.1,33.8,13.3
Realmuto,J.T.,592663,2021,17,0.253,0.416,0.329,0.335,0.164,89.6,11.5,31.2,8.6
Renfroe,Hunter,592669,2021,31,0.255,0.496,0.348,0.315,0.241,90.1,15.6,31.7,13.9
Merrifield,Whit,593160,2021,10,0.263,0.383,0.301,0.306,0.12,86.8,13.9,40,3.5
Bogaerts,Xander,593428,2021,23,0.277,0.459,0.354,0.356,0.182,89.6,12.4,35.9,9.5
Polanco,Jorge,593871,2021,33,0.267,0.487,0.347,0.323,0.22,89.4,19.3,36.1,10.1
Sano,Miguel,593934,2021,30,0.215,0.439,0.322,0.305,0.223,93.4,17.6,32.3,17.7
Duvall,Adam,594807,2021,38,0.226,0.496,0.329,0.281,0.269,89.7,23.6,33.3,15.8
Baez,Javier,595879,2021,31,0.241,0.455,0.325,0.298,0.214,90.1,10.6,32.7,13.4
Lindor,Francisco,596019,2021,20,0.252,0.45,0.343,0.343,0.198,90.7,14.4,35.6,8.2
Story,Trevor,596115,2021,24,0.24,0.443,0.331,0.322,0.203,90.6,17.3,33.2,9.7
Candelario,Jeimer,600869,2021,16,0.278,0.465,0.357,0.358,0.187,88.7,12.6,38.6,9
Bell,Josh,605137,2021,27,0.277,0.487,0.366,0.362,0.21,92.5,4.9,28.5,8.8
Betts,Mookie,605141,2021,23,0.259,0.439,0.352,0.365,0.181,90.3,18.9,33,7.8
Tapia,Raimel,606132,2021,6,0.248,0.315,0.279,0.304,0.068,85.7,-4.5,19.7,2.1
Hernandez,Teoscar,606192,2021,32,0.28,0.527,0.365,0.332,0.246,91.7,13,37.1,13.6
Turner,Trea,607208,2021,28,0.303,0.484,0.363,0.354,0.181,89.6,11.4,34.6,7.4
Ramirez,Jose,608070,2021,36,0.281,0.505,0.374,0.371,0.224,90,18.3,33.4,11.1
Gallo,Joey,608336,2021,38,0.2,0.458,0.351,0.352,0.258,91.5,22.7,29,18.2
Swanson,Dansby,621020,2021,27,0.251,0.456,0.332,0.316,0.205,89.3,14,36.8,11.4
Newman,Kevin,621028,2021,5,0.255,0.33,0.275,0.293,0.076,85.3,9.9,32,1.6
Taylor,Chris,621035,2021,20,0.234,0.413,0.324,0.327,0.179,88.1,17.4,37.8,9.9
Correa,Carlos,621043,2021,26,0.296,0.482,0.373,0.38,0.187,90.2,12.1,33.5,9.4
Olson,Matt,621566,2021,39,0.264,0.507,0.378,0.374,0.243,91.6,16.2,32.4,12.7
Alonso,Pete,624413,2021,37,0.27,0.541,0.376,0.352,0.271,91,14.7,34.5,14.8
Frazier,Adam,624428,2021,5,0.284,0.371,0.32,0.349,0.087,85.5,12.5,38.5,1
Soler,Jorge,624585,2021,27,0.248,0.491,0.357,0.339,0.243,91.2,15.7,30.6,12.4
Cronenworth,Jake,630105,2021,21,0.276,0.439,0.342,0.35,0.163,88.5,12.5,35.2,7
Meadows,Austin,640457,2021,27,0.239,0.423,0.325,0.324,0.184,89.3,21.7,36.1,8.7
Anderson,Tim,641313,2021,17,0.28,0.442,0.325,0.31,0.162,89.6,4.3,32.5,7.8
Crawford,J.P.,641487,2021,9,0.256,0.338,0.297,0.324,0.081,86.3,9.8,34.3,2.4
Dozier,Hunter,641531,2021,16,0.224,0.388,0.299,0.295,0.163,89.9,15.8,33,8.8
Mancini III,Trey,641820,2021,21,0.266,0.452,0.341,0.336,0.186,88.9,9.7,36,10.4
McMahon,Ryan,641857,2021,23,0.237,0.418,0.319,0.317,0.181,90.4,14.1,39.6,7.3
O'Neill,Tyler,641933,2021,34,0.279,0.583,0.392,0.347,0.303,93,17.8,39.9,17.9
Rosario,Amed,642708,2021,11,0.265,0.365,0.298,0.308,0.1,88.8,5.6,32,2.8
Adames,Willy,642715,2021,25,0.236,0.438,0.325,0.314,0.202,89.5,16.8,35.1,11.4
Benintendi,Andrew,643217,2021,17,0.261,0.456,0.331,0.313,0.194,89.6,15.4,38.5,8.9
Kiner-Falefa,Isiah,643396,2021,8,0.265,0.344,0.289,0.307,0.079,85.4,5.4,31.4,1.6
Albies,Ozzie,645277,2021,30,0.257,0.459,0.329,0.309,0.202,89.6,21.2,36.6,9.1
Devers,Rafael,646240,2021,38,0.287,0.56,0.39,0.362,0.273,92.9,13.3,34.7,14.6
Urias,Luis,649966,2021,23,0.241,0.427,0.333,0.338,0.186,87.9,14.2,34.9,9.3
Torres,Gleyber,650402,2021,9,0.264,0.422,0.33,0.335,0.158,87.1,14.2,37.1,7.8
Diaz,Yandy,650490,2021,13,0.254,0.399,0.332,0.353,0.145,89.9,6.6,28.9,7
Chapman,Matt,656305,2021,27,0.209,0.423,0.321,0.314,0.214,89.7,18.6,32.1,13.7
Mullins II,Cedric,656775,2021,30,0.272,0.448,0.344,0.344,0.176,89.4,14.8,35.7,8.1
Smith,Pavin,656976,2021,11,0.258,0.403,0.317,0.321,0.145,87.2,9,33.6,5.1
Verdugo,Alex,657077,2021,13,0.279,0.435,0.335,0.343,0.156,89.9,7.5,34,7.1
Moncada,Yoan,660162,2021,14,0.259,0.422,0.35,0.371,0.163,90.1,11.3,40,8.2
Ohtani,Shohei,660271,2021,46,0.267,0.612,0.409,0.383,0.344,93.9,16.6,35.4,22.3
Riley,Austin,663586,2021,33,0.275,0.503,0.36,0.343,0.228,90,14,35.8,12.8
Mountcastle,Ryan,663624,2021,33,0.245,0.458,0.326,0.303,0.213,89.1,16.3,38.9,11.8
Tucker,Kyle,663656,2021,30,0.307,0.58,0.4,0.372,0.273,91.4,17.6,42,11.6
India,Jonathan,663697,2021,21,0.259,0.442,0.356,0.368,0.183,87.6,13,33.6,9.6
Grisham,Trent,663757,2021,15,0.24,0.367,0.308,0.327,0.127,88.8,12.1,31,5.2
Lowe,Nathaniel,663993,2021,18,0.236,0.402,0.324,0.333,0.166,90.8,5,31.4,9.5
Happ,Ian,664023,2021,25,0.22,0.4,0.318,0.319,0.18,89.5,9.9,31.1,11.2
France,Ty,664034,2021,18,0.269,0.435,0.346,0.352,0.166,88.5,11,35.9,6.8
Lowe,Brandon,664040,2021,39,0.25,0.5,0.36,0.343,0.25,89.3,16.9,37.2,14
Fletcher,David,664058,2021,2,0.271,0.319,0.279,0.306,0.048,82.3,8.4,30.4,0
Straw,Myles,664702,2021,4,0.26,0.337,0.306,0.339,0.077,87.1,11.9,42.4,1.3
Walsh,Jared,665120,2021,29,0.255,0.433,0.325,0.321,0.178,89.6,7.8,33.6,11.3
Tatis Jr.,Fernando,665487,2021,42,0.279,0.618,0.408,0.363,0.338,93.9,13.8,33.1,21.3
Guerrero Jr.,Vladimir,665489,2021,48,0.303,0.588,0.414,0.395,0.285,95.2,9.3,33.5,15.1
Soto,Juan,665742,2021,29,0.304,0.544,0.429,0.462,0.24,93,5.8,29.7,13.3
Chisholm Jr.,Jazz,665862,2021,18,0.238,0.409,0.307,0.295,0.171,90.2,9,29,9
Bichette,Bo,666182,2021,29,0.288,0.482,0.351,0.334,0.193,91.4,7.2,33.3,9.7
Carlson,Dylan,666185,2021,18,0.246,0.404,0.32,0.327,0.158,88.2,15.1,40.6,7
Garcia,Adolis,666969,2021,31,0.222,0.424,0.301,0.27,0.202,91,14.8,29.2,11.5
Gurriel Jr.,Lourdes,666971,2021,21,0.269,0.457,0.335,0.315,0.188,89.8,10.5,35.6,9.6
Arozarena,Randy,668227,2021,20,0.22,0.366,0.302,0.311,0.146,89.9,7.6,29.7,8.2
Reynolds,Bryan,668804,2021,24,0.293,0.522,0.385,0.383,0.229,89.4,13.4,39.9,10.4
Rojas,Josh,668942,2021,11,0.236,0.356,0.299,0.317,0.12,88.2,8.4,40.7,4.8
Edman,Tommy,669242,2021,11,0.275,0.406,0.318,0.321,0.131,87.6,9.5,31.7,4.3
Solak,Nick,669256,2021,11,0.236,0.359,0.298,0.308,0.123,86.9,7,29.3,6.5
Hays,Austin,669720,2021,22,0.245,0.432,0.316,0.298,0.187,88.8,12.5,32.2,9.1
Lopez,Nicky,670032,2021,2,0.239,0.304,0.282,0.312,0.065,86.8,2.8,27.6,0.7
Alvarez,Yordan,670541,2021,33,0.28,0.571,0.39,0.351,0.291,93.2,14.1,37.2,15.9
